Venue Name,Venue Location,Price per Plate
City Park Banquet,"Mundka, Delhi",600 - 600
Golden Plate Banquets Hall 1,"Mundka, Delhi",1100 - 1400
Ip Motel,"Mundka, Delhi","1,205"
Hotel C Pearls & Banquet,"Mundka, Delhi",1400 - 1700
Silver Oak Resort Hotel,"Mundka, Delhi","2,005"
Bul Bul Resort Hotel,"Mundka, Delhi",1505 - 1605
Saini Dharamshala,"Mundka, Delhi",600 - 750
Royal Gardens Lawn,"Mundka, Delhi",800
C-Pearls Hotel And Banquet,"Mundka, Delhi","1,500"
Sanskriti Hotel & Banquet,"Mundka, Delhi",700
Chandela Vatika,"Mundka, Delhi","1,18,000"
Abhinandan Vatika,"Mundka, Delhi","4,00,018"
Aariana Green,"Mundka, Delhi","1,50,000"
Sanskriti Banquet,"Mundka, Delhi","1,50,000"
