Venue Name,Venue Location,Price per Plate
Celebrations Banquet,"Burari, Delhi","1,000"
Tyagi Palace,"Burari, Delhi",600 - 800
Lavish Garden Hall 1,"Burari, Delhi",1000 - 1200
Dreams Heaven,"Burari, Delhi",850
Magic Moments Banquet,"Burari, Delhi",900 - 1000
Aqua Garden Party lawn,"Burari, Delhi",600 - 1000
Uma Garden,"Burari, Delhi",900
The Golden Era Party Lawn Hall 1,"Burari, Delhi",850 - 1000
Shivhans Party Lawn,"Burari, Delhi",800 - 1200
Jai Gaurav Marriage Lawn Hall 1,"Burari, Delhi","1,200"
Om Garden Hall 1,"Burari, Delhi",700 - 900
Green Garden,"Burari, Delhi",800 - 1200
Khushi Banquet Hall 1,"Burari, Delhi",800 - 1200
Jindal Vatika,"Burari, Delhi",600 - 900
Bal Hans Rose Petal Vatika,"Burari, Delhi",550 - 700
Ved Party Lawn 1,"Burari, Delhi",700 - 1000
Ved Party Lawn,"Burari, Delhi","1,000"
Palm Garden,"Burari, Delhi",800 - 1100
Om Garden Lawn,"Burari, Delhi",700 - 900
Flora garden,"Burari, Delhi","86,018"
Aagosh Farm,"Burari, Delhi",1
Rose Petal Vatika,"Burari, Delhi","1,00,000"
The Viraj Banquet,"Burari, Delhi","1,50,000"
Shri Mohan Garden,"Burari, Delhi","1,00,000"
