Artist Name,Artist Location,Price
Divas by Divya,"Kamla Nagar, Delhi Ncr","12,000"
Xpression Salon By Simmi Ghai,"Kamla Nagar, Delhi Ncr","20,000"
Makeup Artistry by Drishika,"Kamla Nagar, Delhi Ncr","13,000"
Mousson Salon,"Kamla Nagar, Delhi Ncr","20,000"
Manisha Makeover,"Kamla Nagar, Delhi Ncr","10,000"
Kshamta's Makeover,"Kamla Nagar, Delhi Ncr","12,000"
Payal Singh Makeover,"Kamla Nagar, Delhi Ncr","15,000"
Makeup by Aashita,"Kamla Nagar, Delhi Ncr","10,500"
Face Diaries By Deepali,"Kamla Nagar, Delhi Ncr","15,000"
Neha Makeovers,"Kamla Nagar, Delhi Ncr","15,000"
Renu Makeovers,"Kamla Nagar, Delhi Ncr","12,000"
Daisys Salon by Shatakshi,"Kamla Nagar, Delhi Ncr","5,000"
