Artist Name,Artist Location,Price
AV Makeups,"Paschim Vihar, Delhi","22,000"
Makeup FX,"Paschim Vihar, Delhi","20,000"
Mansi Sobti- Makeup artist,"Paschim Vihar, Delhi","13,000"
Makeup Loung by Rajni,"Paschim Vihar, Delhi","12,000"
Makeup by Sanaa Arora,"Paschim Vihar, Delhi","22,000"
komal jately,"Paschim Vihar, Delhi","7,000"
Exquisite Makeovers by Preeti,"Paschim Vihar, Delhi","15,000"
Fleek You,"Paschim Vihar, Delhi","7,000"
Girl Girlish Makeover,"Paschim Vihar, Delhi","15,000"
Dolled Up with Priya,"Paschim Vihar, Delhi","10,000"
Chandni Maini,"Paschim Vihar, Delhi","4,500"
Makeover By Preeti Gera,"Paschim Vihar, Delhi","40,000"
The Images Salon,"Paschim Vihar, Delhi","10,000"
Makeovers by Dishi Sayal,"Paschim Vihar, Delhi","10,000"
Sana Asad Khan,"Paschim Vihar, Delhi","23,000"
Bellezonamakeovers_sofats by bhavna sofat,"Paschim Vihar, Delhi","4,500"
NA Makeovers,"Paschim Vihar, Delhi","8,000"
Looks Forever,"Paschim Vihar, Delhi","5,000"
Raas Makeover,"Paschim Vihar, Delhi","3,000"
Ravleen Kaur Juneja Makeup Artist,"Paschim Vihar, Delhi","15,000"
Tripti Artistry,"Paschim Vihar, Delhi","20,000"
Cheena Mua,"Paschim Vihar, Delhi","11,000"
Khushi Gaba,"Paschim Vihar, Delhi","9,000"
Makeup by Himanisehgal,"Paschim Vihar, Delhi","5,000"
