Artist Name,Artist Location,Price
Alina Makeover,"Rohini, Delhi","15,000"
Glamazonbydivyajain,"Rohini, Delhi","15,000"
Makeup Mystery,"Rohini, Delhi","17,000"
Kapilandsumitmakeup,"Rohini, Delhi","12,000"
Vijeta Jain Makeup Artist,"Rohini, Delhi","10,000"
Deepanshi Makeover,"Rohini, Delhi","10,000"
MAPLE STUDIO by Nikita Gupta,"Rohini, Delhi","15,000"
Priyanka Makeover,"Rohini, Delhi","5,000"
Tisha Saraf Mua,"Rohini, Delhi","10,000"
Makeover By Pinki,"Rohini, Delhi","12,000"
Pooja Sharma Makeovers,"Rohini, Delhi","12,000"
Creative Makeovers By Bhanupriya,"Rohini, Delhi","3,000"
Dazzle Makeover by Sahil,"Rohini, Delhi","15,000"
Gul Makeup Artist,"Rohini, Delhi","1,500"
Jyoti Makeovers,"Rohini, Delhi","10,000"
Ruchi Makeovers,"Rohini, Delhi","15,000"
Aarti Artistry,"Rohini, Delhi","10,000"
Makeovers By Deeksha,"Rohini, Delhi","12,000"
Anjali Batra Makeover,"Rohini, Delhi","15,000"
Navkriti Singh MUA,"Rohini, Delhi","12,000"
Maryah by Aishwarya,"Rohini, Delhi","15,000"
Animesh Singh Makeup Artist,"Rohini, Delhi","20,000"
Magnum Star Unisex Family Salon,"Rohini, Delhi","15,000"
GW Makeovers,"Rohini, Delhi","12,000"
