Artist Name,Artist Location,Price
The Glamup Junction by Saumya Swarna,"Subhash Nagar, Delhi Ncr","15,000"
Priyanka Dhingra Makeover,"Subhash Nagar, Delhi Ncr","11,000"
Kashish Makeovers,"Subhash Nagar, Delhi Ncr","10,000"
PKC Makeover Spot,"Subhash Nagar, Delhi Ncr","10,000"
Makeup Artistrry By RD,"Subhash Nagar, Delhi Ncr","15,000"
Diva Mansi Makeover,"Subhash Nagar, Delhi Ncr","3,500"
Preeti Negi Makeover,"Subhash Nagar, Delhi Ncr","20,000"
Makeovers by Jyoti,"Subhash Nagar, Delhi Ncr","13,000"
Facestories by Dhruvikataneja,"Subhash Nagar, Delhi Ncr","15,000"
Bombshells and Beauty by Sanchi,"Subhash Nagar, Delhi Ncr","15,000"
Makeup By Akaur,"Subhash Nagar, Delhi Ncr","8,000"
D Blush ( Makeovers),"Subhash Nagar, Delhi Ncr","40,000"
Janvi Makeover,"Subhash Nagar, Delhi Ncr","10,000"
Bhavya Makeovers,"Subhash Nagar, Delhi Ncr","10,000"
Star Salon,"Subhash Nagar, Delhi Ncr","10,000"
Sakhvi Makeovers,"Subhash Nagar, Delhi Ncr","15,000"
BK Makeovers,"Subhash Nagar, Delhi Ncr","5,000"
Md Makeovers,"Subhash Nagar, Delhi Ncr","7,000"
Vimal Nishad Makeup Mantra,"Subhash Nagar, Delhi Ncr","11,000"
Sanvi Makeovers Unisex Salon,"Subhash Nagar, Delhi Ncr","20,000"
Hunar makeovers,"Subhash Nagar, Delhi Ncr","10,000"
